Feed,DM,CP,EE,CF,NFE,Ash,NDF,ADF,Lignin
Azolla,10.0,24.0,3.5,14.0,43.5,15.0,40.0,28.0,5.0
Spent Brewer Grain,24.0,26.0,8.0,16.0,45.0,5.0,48.0,22.0,4.0
Sugarcane Bagasse,90.0,1.8,0.6,42.0,51.6,4.0,82.0,58.0,12.0
Citrus Pulp,20.0,6.5,2.5,12.0,73.0,6.0,24.0,18.0,2.5
Default Unconventional,25.0,15.0,3.0,18.0,54.0,10.0,45.0,25.0,4.0
